,symbol,cluster
1462,DL,1
1463,DLA,1
1464,DLB,32
1465,DLHC,26
1466,DLN,2
1467,DLNG,1
1468,DLPN,26
1469,DLS,30
1470,DLTH,28
1471,DLTR,28
1472,DLY,23
1473,DMAC,1
1474,DMAY,33
1475,DMB,9
1476,DMDV,5
1477,DMF,9
1478,DMLP,1
1479,DMO,1
1480,DMPI,1
1481,DMRC,7
1482,DMRI,22
1483,DMRL,24
1484,DMRM,2
1485,DMRS,2
1486,DMTK,20
1487,DMXF,33
1488,DNI,22
1489,DNK,23
1490,DNKN,37
1491,DNL,30
1492,DNN,19
1493,DNOV,23
1494,DNR,13
1495,DOC,17
1496,DOCU,7
1497,DOG,36
1498,DOGZ,26
1499,DOMO,7
1500,DON,2
1501,DOO,30
1502,DOOR,37
1503,DOV,32
1504,DOW,5
1505,DOYU,20
1506,DPG,3
1507,DPHC,33
1508,DPHCU,33
1509,DPST,15
1510,DPW,1
1511,DPZ,7
1512,DQ,7
1513,DRAD,26
1514,DRADP,33
1515,DRE,17
1516,DRH,37
1517,DRI,28
1518,DRIO,1
1519,DRIV,22
1520,DRN,17
1521,DRNA,8
1522,DRRX,1
1523,DRTT,1
1524,DRUA,34
1525,DRV,36
1526,DRW,30
1527,DS,28
1528,DSE,18
1529,DSGX,7
1530,DSI,24
1531,DSL,3
1532,DSLV,26
1533,DSPG,32
1534,DSS,1
1535,DSTL,22
1536,DSU,3
1537,DSWL,26
1538,DSX,1
1539,DT,20
1540,DTD,2
1541,DTE,12
1542,DTEA,1
1543,DTEC,24
1544,DTJ,34
1545,DTN,2
1546,DTP,23
1547,DTQ,34
1548,DTSS,26
1549,DTUL,33
1550,DTUS,23
1551,DTW,34
1552,DTY,34
1553,DTYL,33
1554,DUC,6
1555,DUK,12
1556,DUKB,34
1557,DUKH,34
1558,DURA,5
1559,DUSA,22
1560,DUSL,2
1561,DVA,35
1562,DVAX,8
1563,DVD,26
1564,DVLU,2
1565,DVN,13
